,net_sales,day_of_week
2017-03-14,5120.5,Tuesday
2017-03-15,4105.0,Wednesday
2017-03-16,6941.0,Thursday
2017-03-17,15053.39,Friday
2017-03-18,11338.5,Saturday
2017-03-19,12033.31,Sunday
2017-03-20,4352.21,Monday
2017-03-21,4861.96,Tuesday
2017-03-22,5150.45,Wednesday
2017-03-23,4128.84,Thursday
2017-03-24,10740.09,Friday
2017-03-25,13559.09,Saturday
2017-03-26,11103.59,Sunday
2017-03-27,4197.51,Monday
2017-03-28,4574.57,Tuesday
2017-03-29,7465.62,Wednesday
2017-03-30,7155.28,Thursday
2017-03-31,10288.39,Friday
2017-04-01,15148.03,Saturday
2017-04-02,11341.3,Sunday
2017-04-03,5652.07,Monday
2017-04-04,4529.17,Tuesday
2017-04-05,6126.99,Wednesday
2017-04-06,5122.17,Thursday
2017-04-07,8484.84,Friday
2017-04-08,15436.19,Saturday
2017-04-09,13356.19,Sunday
2017-04-10,6932.8,Monday
2017-04-11,7348.1,Tuesday
2017-04-12,7426.57,Wednesday
2017-04-13,5889.98,Thursday
2017-04-14,11211.13,Friday
2017-04-15,12532.84,Saturday
2017-04-16,12272.19,Sunday
2017-04-17,4673.23,Monday
2017-04-18,5346.17,Tuesday
2017-04-19,6518.51,Wednesday
2017-04-20,5771.38,Thursday
2017-04-21,9998.73,Friday
2017-04-22,11875.9,Saturday
2017-04-23,11464.04,Sunday
2017-04-24,4529.98,Monday
2017-04-25,4464.92,Tuesday
2017-04-26,6623.11,Wednesday
2017-04-27,7006.19,Thursday
2017-04-28,10981.39,Friday
2017-04-29,17093.03,Saturday
2017-04-30,9777.69,Sunday
2017-05-01,4272.22,Monday
2017-05-02,6135.55,Tuesday
2017-05-03,9956.92,Wednesday
2017-05-04,6521.1,Thursday
2017-05-05,9174.6,Friday
2017-05-06,19786.28,Saturday
2017-05-07,8435.74,Sunday
2017-05-08,3856.25,Monday
2017-05-09,4655.02,Tuesday
2017-05-10,8996.53,Wednesday
2017-05-11,7151.76,Thursday
2017-05-12,9082.14,Friday
2017-05-13,13128.49,Saturday
2017-05-14,15081.47,Sunday
2017-05-15,6083.57,Monday
2017-05-16,5648.23,Tuesday
2017-05-17,9096.36,Wednesday
2017-05-18,6645.26,Thursday
2017-05-19,11548.68,Friday
2017-05-20,12550.11,Saturday
2017-05-21,11010.48,Sunday
2017-05-22,3596.89,Monday
2017-05-23,4043.68,Tuesday
2017-05-24,7768.26,Wednesday
2017-05-25,4873.02,Thursday
2017-05-26,9345.04,Friday
2017-05-27,10166.93,Saturday
2017-05-28,10984.09,Sunday
2017-05-29,7673.33,Monday
2017-05-30,4031.24,Tuesday
2017-05-31,7040.55,Wednesday
2017-06-01,7104.6,Thursday
2017-06-02,13175.54,Friday
2017-06-03,13740.33,Saturday
2017-06-04,9835.13,Sunday
2017-06-05,3501.89,Monday
2017-06-06,3982.24,Tuesday
2017-06-07,10303.84,Wednesday
2017-06-08,4656.1,Thursday
2017-06-09,11313.16,Friday
2017-06-10,12244.59,Saturday
2017-06-11,10112.69,Sunday
2017-06-12,4844.08,Monday
2017-06-13,5311.42,Tuesday
2017-06-14,6976.61,Wednesday
2017-06-15,7920.99,Thursday
2017-06-16,9210.61,Friday
2017-06-17,13782.46,Saturday
2017-06-18,10773.82,Sunday
2017-06-19,3278.83,Monday
2017-06-20,5624.91,Tuesday
2017-06-21,7397.56,Wednesday
2017-06-22,6021.68,Thursday
2017-06-23,9672.32,Friday
2017-06-24,10476.75,Saturday
2017-06-25,8017.2,Sunday
