Date,Net Sales,Orders,Guests
08/01/2017,6728.97,138,248,
08/02/2017,8799.69,160,331,
08/03/2017,9432.39,196,335,
08/04/2017,13329.42,286,488,
08/05/2017,12139.54,223,430,
08/06/2017,7193.23,143,264,
08/07/2017,5066.47,97,185,
08/08/2017,7680.49,159,251,
08/09/2017,8642.4,163,291,
08/10/2017,9442.96,209,391,
08/11/2017,13205.1,290,524,
08/12/2017,12107.66,231,495,
08/13/2017,6687.19,126,260,
08/14/2017,4579.73,113,180,
08/15/2017,8466.19,148,307,
08/16/2017,9343.15,220,417,
08/17/2017,8349.66,196,357,
08/18/2017,13894.71,273,552,
08/19/2017,12049.02,220,424,
08/20/2017,4787.47,107,201,
08/21/2017,3391.18,93,140,
08/22/2017,5358.46,156,233,
08/23/2017,6872.17,172,274,
08/24/2017,11194.44,191,338,
08/25/2017,12984.27,225,411,
08/26/2017,10149.54,179,448,
08/27/2017,5965.16,121,246,
08/28/2017,6399.74,98,174,
08/29/2017,6000.11,133,221,
08/30/2017,7107.9,146,252,
08/31/2017,9120.07,220,390,
09/01/2017,11823.13,250,439,
09/02/2017,9466.43,186,351,
09/03/2017,9302.2,157,316,
09/04/2017,5899.93,135,228,
09/05/2017,5054.57,135,201,
09/06/2017,6290.71,182,272,
09/07/2017,7668.68,160,291,
09/08/2017,12724.47,285,495,
09/09/2017,10553.52,221,406,
09/10/2017,7831.74,162,326,
09/11/2017,4455.97,113,192,
09/12/2017,8860.18,169,279,
09/13/2017,6807.46,148,238,
09/14/2017,14671.32,214,401,
09/15/2017,13556.21,324,542,
09/16/2017,15049.66,288,665,
09/17/2017,8291.37,156,313,
09/18/2017,5921.19,120,202,
09/19/2017,5541,116,191,
09/20/2017,7600.57,167,275,
09/21/2017,9848.22,175,298,
09/22/2017,18084.69,345,590,
09/23/2017,13864.64,232,492,
09/24/2017,8303.24,167,349,
09/25/2017,10095.88,147,210,
09/26/2017,6659.25,129,249,
09/27/2017,8775.25,177,302,
09/28/2017,11982.16,339,515,
09/29/2017,16315.1,328,622,
09/30/2017,13654.69,232,474,
10/01/2017,8507.12,149,313,
10/02/2017,6706.82,121,224,
10/03/2017,17835.89,43,63,
10/04/2017,8070.67,171,308,
10/05/2017,8480.06,163,313,
10/06/2017,14962.66,334,542,
10/07/2017,16901.07,321,592,
10/08/2017,8079.71,165,348,
10/09/2017,4587.23,105,152,
10/10/2017,7147.72,123,238,
10/11/2017,7091.42,142,238,
10/12/2017,8617.73,180,321,
10/13/2017,14681.25,335,606,
10/14/2017,17889.8,356,667,
10/15/2017,7545.98,141,295,
10/16/2017,5916.47,117,200,
10/17/2017,5404.79,105,192,
10/18/2017,9696.19,187,301,
10/19/2017,10257.75,172,333,
10/20/2017,13812.2,258,476,
10/21/2017,21152.13,269,595,
10/22/2017,6754.97,140,263,
10/23/2017,5991.41,122,203,
10/24/2017,8306.76,158,255,
10/25/2017,6445.61,140,209,
10/26/2017,10768.6,206,390,
10/27/2017,11852.26,228,399,
10/28/2017,12625.54,225,480,
10/29/2017,5108.65,89,172,
10/30/2017,4560.99,83,171,
10/31/2017,4247.42,102,158,
11/01/2017,7924.85,145,251,
11/02/2017,9138.42,220,348,
11/03/2017,14511.24,282,576,
11/04/2017,14156.01,244,491,
11/05/2017,9046.32,135,311,
11/06/2017,7422.91,101,202,
11/07/2017,4441.11,85,147,
11/08/2017,6480.62,134,229,
11/09/2017,8052.95,200,311,
11/10/2017,13447.51,271,467,
11/11/2017,17950.41,287,592,
11/12/2017,6141.19,109,209,
11/13/2017,5459.48,107,188,
11/14/2017,6135.99,129,220,
11/15/2017,7041.51,134,256,
11/16/2017,11457.64,193,375,
11/17/2017,14001.65,275,548,
11/18/2017,17130.27,262,576,
11/19/2017,6373.16,131,250,
11/20/2017,4911.58,97,164,
11/21/2017,6348.92,126,222,
11/22/2017,6253.92,121,214,
11/23/2017,2865.23,52,94,
11/24/2017,7900.24,158,334,
11/25/2017,8402.9,157,302,
11/26/2017,5634.85,104,190,
11/27/2017,3995.46,78,136,
11/28/2017,3831.5,91,144,
11/29/2017,7053.55,116,208,
11/30/2017,8339.33,176,292,
12/01/2017,12108.35,220,429,
12/02/2017,13033.17,201,394,
12/03/2017,6317.1,125,212,
12/04/2017,6070.08,102,187,
12/05/2017,7425.69,117,185,
12/06/2017,15642.95,147,228,
12/07/2017,7460.64,155,295,
12/08/2017,12698.73,225,415,
12/09/2017,11323.57,183,392,
12/10/2017,7487.87,136,269,
12/11/2017,6400.7,122,217,
12/12/2017,5805.8,102,189,
12/13/2017,8341.12,139,271,
12/14/2017,35505.17,221,414,
12/15/2017,16454.36,300,492,
12/16/2017,11027.85,182,372,
12/17/2017,6365.37,120,275,
