Date,Net Sales,Orders,Guests
02/26/2017,0,0,0,
02/27/2017,0,0,0,
02/28/2017,0,0,0,
03/01/2017,0,0,0,
03/02/2017,0,0,0,
03/03/2017,0,0,0,
03/04/2017,0,0,0,
03/05/2017,0,0,0,
03/06/2017,0,0,0,
03/07/2017,0,0,0,
03/08/2017,0,0,0,
03/09/2017,0,0,0,
03/10/2017,0,0,0,
03/11/2017,0,0,0,
03/12/2017,0,0,0,
03/13/2017,5,2,3,
03/14/2017,5120.5,118,206,
03/15/2017,4105,108,182,
03/16/2017,6941,186,260,
03/17/2017,15053.39,327,481,
03/18/2017,11338.5,221,361,
03/19/2017,12033.31,224,414,
03/20/2017,4352.21,120,178,
03/21/2017,4861.96,144,198,
03/22/2017,5150.45,136,218,
03/23/2017,4128.84,141,177,
03/24/2017,10740.09,251,360,
03/25/2017,13559.09,298,510,
03/26/2017,11103.59,209,386,
03/27/2017,4197.51,121,171,
03/28/2017,4574.57,129,201,
03/29/2017,7465.62,176,282,
03/30/2017,7155.28,177,257,
03/31/2017,10288.39,217,288,
04/01/2017,15148.03,466,657,
04/02/2017,11341.3,256,457,
04/03/2017,5652.07,157,225,
04/04/2017,4529.17,128,183,
04/05/2017,6126.99,185,268,
04/06/2017,5122.17,152,209,
04/07/2017,8484.84,211,311,
04/08/2017,15436.19,348,566,
04/09/2017,13356.19,263,546,
04/10/2017,6932.8,166,281,
04/11/2017,7348.1,188,289,
04/12/2017,7426.57,200,313,
04/13/2017,5889.98,158,239,
04/14/2017,11211.13,288,426,
04/15/2017,12532.84,252,447,
04/16/2017,12272.19,241,500,
04/17/2017,4673.23,137,215,
04/18/2017,5346.17,148,206,
04/19/2017,6518.51,152,249,
04/20/2017,5771.38,183,247,
04/21/2017,9998.73,233,341,
04/22/2017,11875.9,240,421,
04/23/2017,11464.04,225,418,
04/24/2017,4529.98,122,181,
04/25/2017,4464.92,122,153,
04/26/2017,6623.11,158,283,
04/27/2017,7006.19,169,290,
04/28/2017,10981.39,276,459,
04/29/2017,17093.03,317,542,
04/30/2017,9777.69,204,364,
05/01/2017,4272.22,131,173,
05/02/2017,6135.55,159,243,
05/03/2017,9956.92,222,337,
05/04/2017,6521.1,181,262,
05/05/2017,9174.6,201,315,
05/06/2017,19786.28,592,803,
05/07/2017,8435.74,191,331,
05/08/2017,3856.25,109,150,
05/09/2017,4655.02,138,208,
05/10/2017,8996.53,198,322,
05/11/2017,7151.76,183,282,
05/12/2017,9082.14,229,341,
05/13/2017,13128.49,265,417,
05/14/2017,15081.47,265,574,
05/15/2017,6083.57,138,206,
05/16/2017,5648.23,149,224,
05/17/2017,9096.36,222,365,
05/18/2017,6645.26,178,273,
05/19/2017,11548.68,282,429,
05/20/2017,12550.11,250,434,
05/21/2017,11010.48,246,434,
05/22/2017,3596.89,119,155,
05/23/2017,4043.68,120,173,
05/24/2017,7768.26,186,314,
05/25/2017,4873.02,137,187,
05/26/2017,9345.04,230,346,
05/27/2017,10166.93,218,391,
05/28/2017,10984.09,210,401,
05/29/2017,7673.33,162,272,
05/30/2017,4031.24,113,164,
05/31/2017,7040.55,176,290,
06/01/2017,7104.6,184,284,
06/02/2017,13175.54,275,426,
06/03/2017,13740.33,371,541,
06/04/2017,9835.13,205,354,
06/05/2017,3501.89,112,153,
06/06/2017,3982.24,113,158,
06/07/2017,10303.84,233,341,
06/08/2017,4656.1,148,204,
06/09/2017,11313.16,281,427,
06/10/2017,12244.59,259,404,
06/11/2017,10112.69,216,396,
06/12/2017,4844.08,130,173,
06/13/2017,5311.42,144,209,
06/14/2017,6976.61,167,275,
06/15/2017,7920.99,191,312,
06/16/2017,9210.61,226,334,
06/17/2017,13782.46,277,470,
06/18/2017,10773.82,229,434,
06/19/2017,3278.83,96,121,
06/20/2017,5624.91,135,214,
06/21/2017,7397.56,170,303,
06/22/2017,6021.68,167,262,
06/23/2017,9672.32,226,350,
06/24/2017,10476.75,236,425,
06/25/2017,8017.2,193,321,
06/26/2017,4343.36,118,170,
06/27/2017,5050.09,124,198,
06/28/2017,9364.6,178,335,
06/29/2017,9706.11,190,281,
06/30/2017,9649.75,220,327,
07/01/2017,9750.24,349,448,
07/02/2017,6898.08,163,255,
07/03/2017,8231.6,187,295,
07/04/2017,10457.28,230,395,
07/05/2017,6581.53,149,258,
07/06/2017,6013.63,139,208,
07/07/2017,8253.38,191,287,
07/08/2017,9510.1,188,356,
07/09/2017,9581.8,202,362,
07/10/2017,7848.63,151,202,
07/11/2017,5298.93,141,200,
07/12/2017,6085.49,146,242,
07/13/2017,4937.04,136,190,
07/14/2017,7407.75,209,312,
07/15/2017,10029.74,214,389,
07/16/2017,8275.62,168,284,
07/17/2017,4464.77,119,176,
07/18/2017,4681.93,122,172,
07/19/2017,7512.03,164,269,
07/20/2017,7229.12,204,293,
07/21/2017,8140.36,192,284,
07/22/2017,8588.19,190,325,
07/23/2017,8156.12,169,328,
07/24/2017,4753.61,126,183,
07/25/2017,4322.05,117,168,
07/26/2017,7243.58,142,268,
07/27/2017,6887.37,157,209,
07/28/2017,10914.58,350,473,
07/29/2017,8665.29,181,319,
07/30/2017,8685.4,193,320,
07/31/2017,4213.16,117,175,
08/01/2017,5026.4,149,218,
08/02/2017,7130.25,168,289,
08/03/2017,8202.38,161,311,
08/04/2017,8933.15,253,357,
08/05/2017,9356.93,212,343,
08/06/2017,8155.97,167,285,
08/07/2017,3919.36,106,182,
08/08/2017,4687.62,132,168,
08/09/2017,7881.61,173,307,
08/10/2017,4726.09,124,179,
08/11/2017,7564.32,198,296,
08/12/2017,7442.93,176,280,
08/13/2017,7860.73,186,307,
08/14/2017,4450.43,119,168,
08/15/2017,4351.88,112,160,
08/16/2017,8223.21,195,325,
08/17/2017,5646.44,128,188,
08/18/2017,9849.95,227,312,
08/19/2017,10939.36,225,413,
08/20/2017,9417.71,197,374,
08/21/2017,4750.14,133,199,
08/22/2017,4918.2,138,195,
08/23/2017,6574.11,159,263,
08/24/2017,5507.48,153,236,
08/25/2017,8304.55,202,321,
08/26/2017,18282.81,367,601,
08/27/2017,11232.07,318,482,
08/28/2017,5063.09,116,187,
08/29/2017,4240.39,122,165,
08/30/2017,6679.7,147,253,
08/31/2017,5926.06,150,223,
09/01/2017,8144.12,217,334,
09/02/2017,7952.93,170,304,
09/03/2017,7434.41,170,304,
09/04/2017,7925.38,180,307,
09/05/2017,4857.52,140,186,
09/06/2017,5883.47,137,216,
09/07/2017,5890.54,147,222,
09/08/2017,13372.86,229,372,
09/09/2017,11506.38,252,422,
09/10/2017,10217.09,188,366,
09/11/2017,5209.16,125,185,
09/12/2017,4680.17,136,180,
09/13/2017,6780.94,182,296,
09/14/2017,5470.89,143,210,
09/15/2017,10018.41,256,390,
09/16/2017,9733.33,211,361,
09/17/2017,10307.17,229,403,
09/18/2017,4014.27,126,166,
09/19/2017,4516.5,125,167,
09/20/2017,7996.86,172,278,
09/21/2017,5098.73,134,203,
09/22/2017,8838.77,218,338,
09/23/2017,10871.08,244,398,
09/24/2017,9055.49,192,320,
09/25/2017,3881.06,117,152,
09/26/2017,4920.64,137,183,
09/27/2017,7203.79,156,265,
09/28/2017,6299.12,155,226,
09/29/2017,8071.11,213,306,
09/30/2017,11718.38,285,433,
10/01/2017,9778.58,213,363,
10/02/2017,4337.36,122,159,
10/03/2017,5109.8,135,195,
10/04/2017,7643.34,171,301,
10/05/2017,6247.32,153,215,
10/06/2017,8682.28,228,331,
10/07/2017,16547.58,463,698,
10/08/2017,9131.88,205,358,
10/09/2017,5003.84,121,198,
10/10/2017,4303.49,122,166,
10/11/2017,7167.35,196,294,
10/12/2017,4554.05,115,172,
10/13/2017,8639.91,211,324,
10/14/2017,11261.5,228,409,
10/15/2017,17694.9,290,395,
10/16/2017,3403.3,99,121,
10/17/2017,5586.68,143,207,
10/18/2017,10675.21,218,308,
10/19/2017,5991.92,141,218,
10/20/2017,9724.04,210,338,
10/21/2017,19396.14,519,714,
10/22/2017,9109.55,205,345,
10/23/2017,4656.68,124,178,
10/24/2017,4288.09,117,159,
10/25/2017,6394.2,160,253,
10/26/2017,5772.16,139,233,
10/27/2017,13658.36,205,315,
10/28/2017,12812.68,257,473,
10/29/2017,7201.01,146,334,
10/30/2017,4183.05,112,155,
10/31/2017,6830.39,152,241,
11/01/2017,6097.13,160,237,
11/02/2017,4381.37,120,180,
11/03/2017,8779.17,204,305,
11/04/2017,14761.5,417,599,
