DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
2017-03-01,12.3,0.16,0.0,0.0,58.0,73,52,240,230,29.1,38.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-03-02,23.49,0.0,0.0,0.0,54.0,65,36,260,270,42.9,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-03,15.88,0.0,0.0,0.0,36.0,42,25,260,300,29.1,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-04,18.34,0.0,0.0,0.0,27.0,32,17,310,300,32.0,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-05,10.74,0.0,0.0,0.0,24.0,38,14,310,310,21.9,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-06,6.26,0.0,0.0,0.0,32.0,44,22,140,140,14.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-07,3.36,0.09,0.0,0.0,45.0,57,42,200,210,12.1,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-08,13.65,0.0,0.0,0.0,55.0,62,49,300,300,36.9,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-09,15.88,0.0,0.0,0.0,57.0,65,49,270,270,33.1,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-10,16.33,0.26,2.4,0.0,41.0,49,24,290,310,29.1,36.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-11,17.45,0.0,0.0,1.2,25.0,31,18,320,330,31.1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-12,15.66,0.0,0.0,0.0,26.0,32,20,280,280,25.9,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-13,7.38,0.0,0.1,0.0,27.0,37,20,300,80,15.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-14,22.59,1.15,6.9,3.9,30.0,32,22,10,270,38.0,47.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2017-03-15,19.24,0.0,0.0,5.1,24.0,27,20,270,270,31.1,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-16,15.21,0.0,0.0,5.1,30.0,41,23,290,280,25.9,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-17,10.74,0.0,0.0,3.9,36.0,47,26,260,260,19.9,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-18,9.17,0.05,0.0,3.1,36.0,39,28,40,30,19.9,25.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-19,13.42,0.0,0.0,3.1,39.0,48,33,10,360,23.9,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-20,10.51,0.0,0.0,1.2,43.0,55,34,360,320,17.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-21,6.93,0.0,0.0,0.0,50.0,62,42,270,260,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-22,19.46,0.0,0.0,0.0,42.0,49,24,340,330,36.0,48.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-23,8.5,0.0,0.0,0.0,31.0,45,23,290,280,18.1,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-24,11.63,0.0,0.0,0.0,42.0,58,31,230,200,23.9,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-25,8.5,0.01,0.0,0.0,53.0,62,44,30,30,21.9,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-26,9.4,0.05,0.0,0.0,42.0,44,39,70,70,18.1,21.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-27,4.92,0.23,0.0,0.0,44.0,56,39,240,270,10.1,16.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2017-03-28,7.83,0.99,0.0,0.0,47.0,49,41,30,30,17.0,19.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-29,15.21,0.0,0.0,0.0,49.0,61,41,340,300,23.9,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-30,7.61,0.02,0.0,0.0,44.0,52,35,20,30,16.1,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,12.08,2.06,0.0,0.0,41.0,42,38,40,50,25.1,35.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,15.66,0.02,0.0,0.0,41.0,50,36,360,30,25.9,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-02,11.18,0.0,0.0,0.0,51.0,65,41,320,300,23.9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-03,5.37,0.04,0.0,0.0,54.0,62,44,90,90,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
